Time,Input,MACD,Signal,Histogram
2018-07-23T08:00:00,1049.404,,,
2018-07-23T09:00:00,1050.820,,,
2018-07-23T10:00:00,1050.690,,,
2018-07-23T11:00:00,1051.253,,,
2018-07-23T12:00:00,1046.688,,,
2018-07-23T13:00:00,1047.093,,,
2018-07-23T14:00:00,1046.696,,,
2018-07-23T15:00:00,1046.887,,,
2018-07-23T16:00:00,1045.950,,,
2018-07-23T17:00:00,1047.932,,,
2018-07-23T18:00:00,1047.158,,,
2018-07-23T19:00:00,1047.516,,,
2018-07-23T20:00:00,1047.596,,,
2018-07-23T22:00:00,1047.554,,,
2018-07-23T23:00:00,1047.076,,,
2018-07-24T00:00:00,1046.277,,,
2018-07-24T01:00:00,1045.994,,,
2018-07-24T02:00:00,1046.564,,,
2018-07-24T03:00:00,1045.536,,,
2018-07-24T04:00:00,1044.198,,,
2018-07-24T05:00:00,1044.668,,,
2018-07-24T06:00:00,1045.860,,,
2018-07-24T07:00:00,1046.670,,,
2018-07-24T08:00:00,1047.412,,,
2018-07-24T09:00:00,1047.776,,,
2018-07-24T10:00:00,1047.630,-0.40701673631133417,-0.40701673631133417,0
2018-07-24T11:00:00,1048.464,-0.24982832549881095,-0.3755790541488295,0.12575072865001857
2018-07-24T12:00:00,1047.880,-0.1672283688353673,-0.33390891708613707,0.16668054825076978
2018-07-24T13:00:00,1049.168,-0.0038028337594369077,-0.267887700420797,0.2640848666613601
2018-07-24T14:00:00,1049.384,0.14093327507384856,-0.1861235053218679,0.32705678039571645
2018-07-24T15:00:00,1048.030,0.15159654129934097,-0.11857949599762611,0.2701760372969671
2018-07-24T16:00:00,1048.808,0.21662507327960157,-0.05153858214218057,0.2681636554217821
2018-07-24T17:00:00,1049.168,0.29231672447485835,0.01723247918122721,0.2750842452936311
2018-07-24T18:00:00,1048.052,0.26484072207676945,0.06675412776033565,0.1980865943164338
2018-07-24T19:00:00,1048.452,0.2702582570677805,0.10745495362182463,0.1628033034459559
2018-07-24T20:00:00,1048.037,0.24035238856231445,0.1340344406099226,0.10631794795239186
2018-07-24T22:00:00,1048.619,0.25778493507868916,0.1587845395036759,0.09900039557501325
2018-07-24T23:00:00,1048.654,0.2712161942574767,0.18127087045443607,0.0899453238030406
2018-07-25T00:00:00,1048.902,0.2973253396016844,0.20448176428388573,0.09284357531779866
2018-07-25T01:00:00,1048.944,0.3176587450579973,0.22711716043870805,0.09054158461928924
2018-07-25T02:00:00,1048.580,0.3027722242159143,0.24224817319414932,0.060524051021765
2018-07-25T03:00:00,1047.894,0.236211509681425,0.24104084049160446,-0.004829330810179444
2018-07-25T04:00:00,1048.384,0.2179707683947072,0.236426826072225,-0.018456057677517818
2018-07-25T05:00:00,1049.366,0.27482681441370005,0.24410682374052,0.030719990673180042
2018-07-25T06:00:00,1049.271,0.30931307893388293,0.2571480747791926,0.05216500415469033
2018-07-25T07:00:00,1048.877,0.30339813227487866,0.26639808627832984,0.037000045996548825
2018-07-25T08:00:00,1050.380,0.4080592764762514,0.2947303243179141,0.11332895215833727
2018-07-25T09:00:00,1051.914,0.6008084342440725,0.3559459463031458,0.2448624879409267
2018-07-25T10:00:00,1052.444,0.785348364653828,0.44182642997328225,0.3435219346805457
2018-07-25T11:00:00,1053.648,1.0119077158360597,0.5558426871458377,0.4560650286902219
2018-07-25T12:00:00,1053.408,1.1606560438999622,0.6768053584966627,0.48385068540329956
2018-07-25T13:00:00,1052.899,1.226377036346321,0.7867196940665944,0.4396573422797265
2018-07-25T14:00:00,1052.832,1.259228424998355,0.8812214402529465,0.3780069847454085
2018-07-25T15:00:00,1052.168,1.221091509544749,0.949195454111307,0.271896055433442
2018-07-25T16:00:00,1052.491,1.2015940802868954,0.9996751793464247,0.2019189009404707
2018-07-25T17:00:00,1053.392,1.2403212931299095,1.0478044021031216,0.19251689102678782
2018-07-25T18:00:00,1053.064,1.2322169496799233,1.084686911618482,0.14753003806144127
2018-07-25T19:00:00,1050.214,0.9982324689585766,1.067396023086501,-0.0691635541279243
2018-07-25T20:00:00,1050.629,0.8341570557154228,1.0207482296122854,-0.18659117389686264
2018-07-25T22:00:00,1050.064,0.6533934951762603,0.9472772827250804,-0.29388378754882005
2018-07-25T23:00:00,1050.571,0.5419424688816434,0.866210319956393,-0.32426785107474954
2018-07-26T00:00:00,1050.965,0.47776724668256065,0.7885217053016265,-0.3107544586190658
2018-07-26T01:00:00,1051.086,0.4310095967034613,0.7170192835819934,-0.2860096868785321
2018-07-26T02:00:00,1049.854,0.2969975364444508,0.6330149341544848,-0.336017397710034
2018-07-26T03:00:00,1049.500,0.16173933178060906,0.5387598136797097,-0.37702048189910065
2018-07-26T04:00:00,1049.896,0.08327300088126321,0.4476624511200204,-0.3643894502387572
2018-07-26T05:00:00,1048.107,-0.11353297304822263,0.33542336628637176,-0.4489563393345944
2018-07-26T06:00:00,1048.924,-0.20571942410356314,0.22719480820838478,-0.4329142323119479
2018-07-26T07:00:00,1047.110,-0.4119366777247251,0.0993685110217628,-0.5113051887464879
2018-07-26T08:00:00,1048.510,-0.46444070575989826,-0.013393332334569408,-0.45104737342532886
2018-07-26T09:00:00,1048.660,-0.4892470398626756,-0.10856407384019065,-0.38068296602248497
2018-07-26T10:00:00,1048.960,-0.48074699085259454,-0.18300065724267145,-0.2977463336099231
2018-07-26T11:00:00,1048.734,-0.48560542367135895,-0.24352161052840895,-0.24208381314295
2018-07-26T12:00:00,1049.125,-0.45463730545884573,-0.2857447495144963,-0.16889255594434943
