Time,Input,MACD,Signal,Histogram
2018-08-01T17:00:00,1045.150,,,
2018-08-01T17:30:00,1045.292,,,
2018-08-01T18:00:00,1045.649,,,
2018-08-01T18:30:00,1044.236,,,
2018-08-01T19:00:00,1043.748,,,
2018-08-01T19:30:00,1042.872,,,
2018-08-01T20:00:00,1043.356,,,
2018-08-01T20:30:00,1042.928,,,
2018-08-01T22:00:00,1043.855,,,
2018-08-01T22:30:00,1043.508,,,
2018-08-01T23:00:00,1043.849,,,
2018-08-01T23:30:00,1044.240,,,
2018-08-02T00:00:00,1043.984,,,
2018-08-02T00:30:00,1044.883,,,
2018-08-02T01:00:00,1045.738,,,
2018-08-02T01:30:00,1046.020,,,
2018-08-02T02:00:00,1046.368,,,
2018-08-02T02:30:00,1045.942,,,
2018-08-02T03:00:00,1046.336,,,
2018-08-02T03:30:00,1046.842,,,
2018-08-02T04:00:00,1046.615,,,
2018-08-02T04:30:00,1046.262,,,
2018-08-02T05:00:00,1046.122,,,
2018-08-02T05:30:00,1046.962,,,
2018-08-02T06:00:00,1047.473,,,
2018-08-02T06:30:00,1047.558,0.6337607557368301,0.6337607557368301,0
2018-08-02T07:00:00,1047.296,0.6530276785429123,0.6376141402980465,0.015413538244865799
2018-08-02T07:30:00,1046.790,0.6228797352155198,0.6346672592815412,-0.01178752406602146
2018-08-02T08:00:00,1047.658,0.6572685177532094,0.6391875109758749,0.018081006777334485
2018-08-02T08:30:00,1048.148,0.713662427198642,0.6540824942204283,0.059579932978213734
2018-08-02T09:00:00,1048.174,0.7519234361943745,0.6736506826152175,0.07827275357915697
2018-08-02T09:30:00,1046.997,0.6852720158599368,0.6759749492641614,0.00929706659577545
2018-08-02T10:00:00,1047.340,0.6508830264435801,0.670956564700045,-0.020073538256464962
2018-08-02T10:30:00,1046.588,0.5601222494674403,0.6487897016535241,-0.08866745218608385
2018-08-02T11:00:00,1046.842,0.5015102132633729,0.6193338039754939,-0.117823590712121
2018-08-02T11:30:00,1045.370,0.339384509898764,0.5633439451601479,-0.22395943526138384
2018-08-02T12:00:00,1046.170,0.26809509989197977,0.5042941761065143,-0.2361990762145345
2018-08-02T12:30:00,1047.528,0.3108777314002964,0.4656108871652707,-0.15473315576497432
2018-08-02T13:00:00,1046.290,0.24816820094565628,0.42212234992134784,-0.17395414897569156
2018-08-02T13:30:00,1045.337,0.12459594036499766,0.3626170680100778,-0.23802112764508015
2018-08-02T14:00:00,1045.674,0.05131054615412722,0.3003557636388877,-0.2490452174847605
2018-08-02T14:30:00,1045.924,0.011862661311852207,0.2426571431734806,-0.2307944818616284
2018-08-02T15:00:00,1045.482,-0.05243669308538301,0.18363837592170787,-0.23607506900709088
2018-08-02T15:30:00,1045.396,-0.1088521476826827,0.12514027120082977,-0.23399241888351247
2018-08-02T16:00:00,1045.834,-0.11913421219855991,0.07628537452095183,-0.19541958671951173
2018-08-02T16:30:00,1045.352,-0.16202822553691476,0.02862265450937851,-0.19065088004629327
2018-08-02T17:00:00,1044.520,-0.25633082598687906,-0.028368041589873008,-0.22796278439700607
2018-08-02T17:30:00,1044.598,-0.3217425237983207,-0.08704293803156254,-0.23469958576675815
2018-08-02T18:00:00,1043.570,-0.44665286780991664,-0.1589649239872334,-0.28768794382268326
2018-08-02T18:30:00,1043.713,-0.5291137810261262,-0.23299469539501194,-0.2961190856311142
2018-08-02T19:00:00,1043.293,-0.6194961440057796,-0.31029498511716547,-0.3092011588886141
2018-08-02T19:30:00,1043.477,-0.6697899452783531,-0.382193977149403,-0.2875959681289501
2018-08-02T20:00:00,1042.792,-0.7531733096445805,-0.4563898436484385,-0.296783465996142
2018-08-02T20:30:00,1042.846,-0.8062102801441142,-0.5263539309475737,-0.27985634919654057
2018-08-02T22:00:00,1044.042,-0.7491407325478576,-0.5709112912676304,-0.17822944128022722
2018-08-02T22:30:00,1043.766,-0.7165419675091016,-0.6000374265159246,-0.11650454099317697
2018-08-02T23:00:00,1043.401,-0.7102250913628723,-0.6220749594853141,-0.08815013187755816
2018-08-02T23:30:00,1043.089,-0.7206684152151865,-0.6417936506312886,-0.07887476458389797
2018-08-03T00:00:00,1043.396,-0.6977469589226075,-0.6529843122895523,-0.04476264663305518
2018-08-03T00:30:00,1043.688,-0.6499753106247681,-0.6523825119565955,0.002407201331827369
2018-08-03T01:00:00,1043.987,-0.5826776299061294,-0.6384415355465023,0.055763905640372924
2018-08-03T01:30:00,1042.360,-0.6452347051047127,-0.6398001694581443,-0.0054345356465683725
2018-08-03T02:00:00,1042.600,-0.6691613150471767,-0.6456723985759508,-0.023488916471225862
2018-08-03T02:30:00,1042.680,-0.6744455473201469,-0.65142702832479,-0.023018518995356896
2018-08-03T03:00:00,1042.334,-0.696962762537396,-0.6605341751673113,-0.0364285873700847
2018-08-03T03:30:00,1042.041,-0.7288010919232875,-0.6741875585185065,-0.05461353340478092
2018-08-03T04:00:00,1041.708,-0.770609966119082,-0.6934720400386216,-0.07713792608046033
2018-08-03T04:30:00,1041.488,-0.811312831336636,-0.7170401982982245,-0.09427263303841149
2018-08-03T05:00:00,1042.072,-0.7903881897611882,-0.7317097965908173,-0.058678393170370935
2018-08-03T05:30:00,1042.119,-0.7615193231877129,-0.7376717019101964,-0.023847621277516495
2018-08-03T06:00:00,1041.773,-0.7562040844584317,-0.7413781784198434,-0.014825906038588244
2018-08-03T06:30:00,1041.654,-0.7524426820573353,-0.7435910791473418,-0.008851602909993539
2018-08-03T07:00:00,1041.425,-0.7581952992466086,-0.7465119231671952,-0.011683376079413388
